date,cpi,wpi,month,year,quarter,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,cpi_pct_change,cpi_diff,wpi_pct_change,wpi_lag1,trend_index,cpi_wpi_diff
2016-04-01,127.3,109.0,4,2016,2,126.0,126.0,126.3,126.1,120.7,126.43333333333332,0.7505553499466902,126.38333333333333,0.503653319921858,1.031746031746028,1.2999999999999972,1.20705663881151,107.7,48,18.299999999999997
2016-05-01,128.6,110.4,5,2016,2,127.3,126.0,126.0,126.6,121.6,127.3,1.300000000000097,126.71666666666665,1.0457851914558556,1.021209740769824,1.2999999999999972,1.2844036697247763,109.0,49,18.19999999999999
2016-06-01,130.1,111.7,6,2016,2,128.6,127.3,126.0,126.1,123.0,128.66666666666666,1.4011899704656767,127.38333333333333,1.6654328766625388,1.1664074650077794,1.5,1.1775362318840576,110.4,50,18.39999999999999
2016-07-01,131.1,111.8,7,2016,3,130.1,128.6,127.3,126.3,123.6,129.93333333333334,1.2583057392118995,128.18333333333334,2.1292408662874585,0.768639508070712,1.0,0.08952551477170445,111.7,51,19.299999999999997
2016-08-01,131.1,111.2,8,2016,3,131.1,130.1,128.6,126.0,124.8,130.76666666666665,0.5773502691898281,129.03333333333333,2.101110817322268,0.0,0.0,-0.5366726296958779,111.8,52,19.89999999999999
2016-09-01,130.8,111.4,9,2016,3,131.1,131.1,130.1,126.0,125.4,131.0,0.17320508075751823,129.83333333333334,1.5590595455814742,-0.22883295194506825,-0.29999999999998295,0.17985611510791255,111.2,53,19.400000000000006
2016-10-01,131.4,111.5,10,2016,4,130.8,131.1,131.1,127.3,126.1,131.1,0.3000000000003562,130.51666666666668,1.0381072520066235,0.4587155963302614,0.5999999999999943,0.08976660682225024,111.4,54,19.900000000000006
2016-11-01,131.2,111.9,11,2016,4,131.4,130.8,131.1,128.6,126.6,131.13333333333335,0.3055050463307346,130.95000000000002,0.4593473631165069,-0.15220700152208666,-0.20000000000001705,0.35874439461884844,111.5,55,19.299999999999983
2016-12-01,130.4,111.7,12,2016,4,131.2,131.4,130.8,130.1,126.1,131.0,0.5291502622131145,131.0,0.352136337236139,-0.609756097560965,-0.799999999999983,-0.17873100983021306,111.9,56,18.700000000000003
2017-01-01,130.3,112.6,1,2017,1,130.4,131.2,131.4,131.1,126.3,130.63333333333333,0.4932882862318372,130.86666666666667,0.44572039068090574,-0.07668711656441118,-0.09999999999999432,0.8057296329453845,111.7,57,17.700000000000017
2017-02-01,130.6,113.0,2,2017,1,130.3,130.4,131.2,131.1,126.0,130.43333333333334,0.15275252316594545,130.78333333333333,0.44007575105740016,0.2302379125095788,0.29999999999998295,0.355239786856143,112.6,58,17.599999999999994
2017-03-01,130.8,113.2,3,2017,1,130.6,130.3,130.4,130.8,126.0,130.56666666666666,0.25166114784282523,130.78333333333333,0.44007575105740016,0.15313935681471325,0.20000000000001705,0.1769911504424737,113.0,59,17.60000000000001
2017-04-01,131.1,113.2,4,2017,2,130.8,130.6,130.3,131.4,127.3,130.83333333333334,0.2516611478428441,130.73333333333335,0.3669695718567549,0.2293577981651307,0.29999999999998295,0.0,113.2,60,17.89999999999999
2017-05-01,131.4,112.9,5,2017,2,131.1,130.8,130.6,131.2,128.6,131.1,0.300000000000421,130.76666666666668,0.4226897995797122,0.22883295194509046,0.30000000000001137,-0.26501766784452485,113.2,61,18.5
2017-06-01,132.0,112.7,6,2017,2,131.4,131.1,130.8,130.4,130.1,131.5,0.45825756949586566,131.03333333333333,0.6088240030327018,0.45662100456620447,0.5999999999999943,-0.1771479185119551,112.9,62,19.299999999999997
2017-07-01,134.2,113.9,7,2017,3,132.0,131.4,131.1,130.3,131.1,132.53333333333333,1.474222959166482,131.68333333333334,1.3272779161384491,1.6666666666666607,2.1999999999999886,1.0647737355811815,112.7,63,20.299999999999983
2017-08-01,135.4,114.8,8,2017,3,134.2,132.0,131.4,130.6,131.1,133.86666666666667,1.7243356208504186,132.48333333333335,1.8766104195247646,0.8941877794336861,1.200000000000017,0.7901668129938422,113.9,64,20.60000000000001
2017-09-01,135.2,114.9,9,2017,3,135.4,134.2,132.0,130.8,130.8,134.9333333333333,0.6429100507330485,133.21666666666667,1.9456789731785151,-0.1477104874446189,-0.20000000000001705,0.08710801393729817,114.8,65,20.299999999999983
2017-10-01,136.1,115.6,10,2017,4,135.2,135.4,134.2,131.1,131.4,135.56666666666666,0.472581562625489,134.05,1.9284708968512936,0.6656804733727872,0.9000000000000057,0.6092254134029584,114.9,66,20.5
2017-11-01,137.6,116.4,11,2017,4,136.1,135.2,135.4,131.4,131.2,136.29999999999998,1.2124355652983136,135.08333333333334,1.8851171493223446,1.102130786186617,1.5,0.6920415224913601,115.6,67,21.19999999999999
